,subject_id,task,condition,target,response,PROLIFIC_PID
72,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
73,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
74,43,TMaze,"[75,75]",R,j,5fd8a13aaf5bd723a0e0e3fa
75,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
76,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
77,43,TMaze,"[60,90.00000000000001]",L,j,5fd8a13aaf5bd723a0e0e3fa
78,43,TMaze,"[75,75]",L,f,5fd8a13aaf5bd723a0e0e3fa
79,43,TMaze,"[75,75]",R,f,5fd8a13aaf5bd723a0e0e3fa
80,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
81,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
82,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
83,43,TMaze,"[75,75]",L,j,5fd8a13aaf5bd723a0e0e3fa
84,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
85,43,TMaze,"[75,75]",R,f,5fd8a13aaf5bd723a0e0e3fa
86,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
87,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
88,43,TMaze,"[75,75]",L,f,5fd8a13aaf5bd723a0e0e3fa
89,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
90,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
91,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
92,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
93,43,TMaze,"[75,75]",R,j,5fd8a13aaf5bd723a0e0e3fa
94,43,TMaze,"[60,90.00000000000001]",L,j,5fd8a13aaf5bd723a0e0e3fa
95,43,TMaze,"[75,75]",R,f,5fd8a13aaf5bd723a0e0e3fa
96,43,TMaze,"[75,75]",R,j,5fd8a13aaf5bd723a0e0e3fa
97,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
98,43,TMaze,"[75,75]",R,j,5fd8a13aaf5bd723a0e0e3fa
99,43,TMaze,"[75,75]",L,f,5fd8a13aaf5bd723a0e0e3fa
100,43,TMaze,"[60,90.00000000000001]",R,f,5fd8a13aaf5bd723a0e0e3fa
101,43,TMaze,"[75,75]",L,j,5fd8a13aaf5bd723a0e0e3fa
102,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
