,subject_id,task,condition,target,response,PROLIFIC_PID
7,34,TMaze,"[75,75]",R,j,603a293ee62ae15da2674441
8,34,TMaze,"[75,75]",L,j,603a293ee62ae15da2674441
9,34,TMaze,"[75,75]",R,j,603a293ee62ae15da2674441
10,34,TMaze,"[60,90.00000000000001]",L,j,603a293ee62ae15da2674441
11,34,TMaze,"[45.00000000000001,105.00000000000001]",L,f,603a293ee62ae15da2674441
12,34,TMaze,"[60,90.00000000000001]",L,f,603a293ee62ae15da2674441
13,34,TMaze,"[60,90.00000000000001]",L,f,603a293ee62ae15da2674441
14,34,TMaze,"[45.00000000000001,105.00000000000001]",R,j,603a293ee62ae15da2674441
15,34,TMaze,"[60,90.00000000000001]",R,j,603a293ee62ae15da2674441
16,34,TMaze,"[75,75]",R,j,603a293ee62ae15da2674441
17,34,TMaze,"[75,75]",L,f,603a293ee62ae15da2674441
18,34,TMaze,"[60,90.00000000000001]",R,j,603a293ee62ae15da2674441
19,34,TMaze,"[60,90.00000000000001]",R,j,603a293ee62ae15da2674441
20,34,TMaze,"[45.00000000000001,105.00000000000001]",R,j,603a293ee62ae15da2674441
21,34,TMaze,"[60,90.00000000000001]",L,f,603a293ee62ae15da2674441
22,34,TMaze,"[45.00000000000001,105.00000000000001]",R,j,603a293ee62ae15da2674441
23,34,TMaze,"[75,75]",L,f,603a293ee62ae15da2674441
24,34,TMaze,"[75,75]",R,j,603a293ee62ae15da2674441
25,34,TMaze,"[75,75]",R,f,603a293ee62ae15da2674441
26,34,TMaze,"[75,75]",L,j,603a293ee62ae15da2674441
27,34,TMaze,"[60,90.00000000000001]",L,f,603a293ee62ae15da2674441
28,34,TMaze,"[45.00000000000001,105.00000000000001]",L,f,603a293ee62ae15da2674441
29,34,TMaze,"[75,75]",R,j,603a293ee62ae15da2674441
30,34,TMaze,"[45.00000000000001,105.00000000000001]",R,j,603a293ee62ae15da2674441
31,34,TMaze,"[75,75]",R,j,603a293ee62ae15da2674441
32,34,TMaze,"[45.00000000000001,105.00000000000001]",R,j,603a293ee62ae15da2674441
33,34,TMaze,"[45.00000000000001,105.00000000000001]",R,j,603a293ee62ae15da2674441
34,34,TMaze,"[60,90.00000000000001]",R,f,603a293ee62ae15da2674441
35,34,TMaze,"[75,75]",L,f,603a293ee62ae15da2674441
36,34,TMaze,"[45.00000000000001,105.00000000000001]",L,f,603a293ee62ae15da2674441
37,34,TMaze,"[45.00000000000001,105.00000000000001]",R,j,603a293ee62ae15da2674441
38,34,TMaze,"[45.00000000000001,105.00000000000001]",L,f,603a293ee62ae15da2674441
39,34,TMaze,"[75,75]",R,j,603a293ee62ae15da2674441
40,34,TMaze,"[60,90.00000000000001]",L,f,603a293ee62ae15da2674441
41,34,TMaze,"[75,75]",R,f,603a293ee62ae15da2674441
42,34,TMaze,"[45.00000000000001,105.00000000000001]",R,j,603a293ee62ae15da2674441
43,34,TMaze,"[45.00000000000001,105.00000000000001]",L,f,603a293ee62ae15da2674441
44,34,TMaze,"[45.00000000000001,105.00000000000001]",R,j,603a293ee62ae15da2674441
45,34,TMaze,"[75,75]",L,f,603a293ee62ae15da2674441
46,34,TMaze,"[75,75]",L,j,603a293ee62ae15da2674441
47,34,TMaze,"[60,90.00000000000001]",L,f,603a293ee62ae15da2674441
